4;NAT1;N-acetyltransferase 1
60;ACVR1;activin A receptor type 1
68;ADA;adenosine deaminase
69;ADAM8;ADAM metallopeptidase domain 8
76;ADCY2;adenylate cyclase 2
84;ADCYAP1R1;ADCYAP receptor type I
93;ADH5;alcohol dehydrogenase 5 (class III), chi polypeptide
98;ADORA1;adenosine A1 receptor
99;ADORA2A;adenosine A2a receptor
103;PARP1;poly(ADP-ribose) polymerase 1
112;ADRB2;adrenoceptor beta 2
119;AP2A2;adaptor related protein complex 2 subunit alpha 2
132;AGER;advanced glycosylation end-product specific receptor
135;JAG1;jagged canonical Notch ligand 1
137;AGTR1;angiotensin II receptor type 1
138;AGTR2;angiotensin II receptor type 2
158;ABCD1;ATP binding cassette subfamily D member 1
160;ALDH2;aldehyde dehydrogenase 2 family member
176;ALOX5;arachidonate 5-lipoxygenase
177;ALOX5AP;arachidonate 5-lipoxygenase activating protein
181;ALOX15;arachidonate 15-lipoxygenase
212;ANGPT1;angiopoietin 1
223;ANXA2;annexin A2
270;KLK3;kallikrein related peptidase 3
271;FAS;Fas cell surface death receptor
287;AREG;amphiregulin
294;ARG1;arginase 1
295;ARG2;arginase 2
296;RHOA;ras homolog family member A
328;ARVCF;ARVCF delta catenin family member
355;RERE;arginine-glutamic acid dipeptide repeats
424;BAX;BCL2 associated X, apoptosis regulator
425;BBS1;Bardet-Biedl syndrome 1
434;BCL2;BCL2 apoptosis regulator
436;BCL2L1;BCL2 like 1
452;BDKRB1;bradykinin receptor B1
453;BDKRB2;bradykinin receptor B2
454;BDNF;brain derived neurotrophic factor
457;BGLAP;bone gamma-carboxyglutamate protein
482;BMPR1B;bone morphogenetic protein receptor type 1B
483;BMPR2;bone morphogenetic protein receptor type 2
498;BRCA2;BRCA2 DNA repair associated
528;C3;complement C3
529;C3AR1;complement C3a receptor 1
530;C4A;complement C4A (Rodgers blood group)
535;C5;complement C5
536;C5AR1;complement C5a receptor 1
548;MYRF;myelin regulatory factor
549;TMEM258;transmembrane protein 258
599;CAMK4;calcium/calmodulin dependent protein kinase IV
605;CAMP;cathelicidin antimicrobial peptide
626;CASP8;caspase 8
632;CAT;catalase
638;RUNX1;RUNX family transcription factor 1
641;RUNX3;RUNX family transcription factor 3
681;CD247;CD247 molecule
691;CD14;CD14 molecule
699;CD86;CD86 molecule
715;CD40;CD40 molecule
725;CD69;CD69 molecule
739;LRBA;LPS responsive beige-like anchor protein
750;CDH1;cadherin 1
765;CDH17;cadherin 17
767;CDK2;cyclin dependent kinase 2
787;CDSN;corneodesmosin
812;CETP;cholesteryl ester transfer protein
813;CFL1;cofilin 1
816;CFTR;CF transmembrane conductance regulator
826;CHAT;choline O-acetyltransferase
837;CHI3L1;chitinase 3 like 1
843;CHML;CHM like Rab escort protein
846;CHRM1;cholinergic receptor muscarinic 1
849;CHRM3;cholinergic receptor muscarinic 3
853;CHRNA2;cholinergic receptor nicotinic alpha 2 subunit
883;CLCA1;chloride channel accessory 1
909;CMA1;chymase 1
911;CCR1;C-C motif chemokine receptor 1
912;CCR3;C-C motif chemokine receptor 3
913;CCR4;C-C motif chemokine receptor 4
914;CCR5;C-C motif chemokine receptor 5 (gene/pseudogene)
915;CCR6;C-C motif chemokine receptor 6
917;CCR8;C-C motif chemokine receptor 8
920;LTB4R;leukotriene B4 receptor
942;COL1A1;collagen type I alpha 1 chain
952;COL5A1;collagen type V alpha 1 chain
953;COL5A2;collagen type V alpha 2 chain
973;COMT;catechol-O-methyltransferase
1022;CREB1;cAMP responsive element binding protein 1
1031;CRHR2;corticotropin releasing hormone receptor 2
1037;CRP;C-reactive protein
1065;CSF2RB;colony stimulating factor 2 receptor subunit beta
1110;CTLA4;cytotoxic T-lymphocyte associated protein 4
1111;CTNNA1;catenin alpha 1
1134;CX3CR1;C-X3-C motif chemokine receptor 1
1139;CYBA;cytochrome b-245 alpha chain
1164;CYP2J2;cytochrome P450 family 2 subfamily J member 2
1212;DCN;decorin
1214;ACE;angiotensin I converting enzyme
1244;DEFB1;defensin beta 1
1268;NQO1;NAD(P)H quinone dehydrogenase 1
1300;DNAH5;dynein axonemal heavy chain 5
1314;DNMT1;DNA methyltransferase 1
1326;DPH1;diphthamide biosynthesis 1
1329;DPP6;dipeptidyl peptidase like 6
1404;EDN1;endothelin 1
1408;EDNRB;endothelin receptor type B
1422;EFNA1;ephrin A1
1436;EGFR;epidermal growth factor receptor
1459;ELANE;elastase, neutrophil expressed
1482;CTTN;cortactin
1505;EPHA5;EPH receptor A5
1523;ERBB2;erb-b2 receptor tyrosine kinase 2
1524;ERBB3;erb-b2 receptor tyrosine kinase 3
1525;ERBB4;erb-b2 receptor tyrosine kinase 4
1527;ERCC2;ERCC excision repair 2, TFIIH core complex helicase subunit
1544;ESR2;estrogen receptor 2
1553;ETS1;ETS proto-oncogene 1, transcription factor
1581;F2RL1;F2R like trypsin receptor 1
1585;F7;coagulation factor VII
1627;FCER1A;Fc fragment of IgE receptor Ia
1628;MS4A2;membrane spanning 4-domains A2
1629;FCER1G;Fc fragment of IgE receptor Ig
1633;FCGR2A;Fc fragment of IgG receptor IIa
1652;FER;FER tyrosine kinase
1654;FGA;fibrinogen alpha chain
1658;FGF2;fibroblast growth factor 2
1664;FGF8;fibroblast growth factor 8
1671;FGFR1;fibroblast growth factor receptor 1
1715;FLG;filaggrin
1725;FLT3LG;fms related receptor tyrosine kinase 3 ligand
1733;FMR1;FMRP translational regulator 1
1747;FPR2;formyl peptide receptor 2
1776;MTOR;mechanistic target of rapamycin kinase
1808;ACKR1;atypical chemokine receptor 1 (Duffy blood group)
1810;FYN;FYN proto-oncogene, Src family tyrosine kinase
1819;GAB1;GRB2 associated binding protein 1
1866;GAS1;growth arrest specific 1
1869;GAS8;growth arrest specific 8
1872;GATA3;GATA binding protein 3
1946;GLB1;galactosidase beta 1
1951;GCLC;glutamate-cysteine ligase catalytic subunit
1953;GLDC;glycine decarboxylase
1957;GLI2;GLI family zinc finger 2
1979;GNAI1;G protein subunit alpha i1
1985;GNAS;GNAS complex locus
2012;GP1BA;glycoprotein Ib platelet subunit alpha
2013;GP1BB;glycoprotein Ib platelet subunit beta
2016;GP9;glycoprotein IX platelet
2032;CXCR3;C-X-C motif chemokine receptor 3
2061;GRK5;G protein-coupled receptor kinase 5
2082;GRID1;glutamate ionotropic receptor delta type subunit 1
2096;NR3C1;nuclear receptor subfamily 3 group C member 1
2126;GSTM1;glutathione S-transferase mu 1
2131;GSTP1;glutathione S-transferase pi 1
2132;GSTT1;glutathione S-transferase theta 1
2236;HEXB;hexosaminidase subunit beta
2258;HLA-B;major histocompatibility complex, class I, B
2265;HLA-DPA1;major histocompatibility complex, class II, DP alpha 1
2266;HLA-DPB1;major histocompatibility complex, class II, DP beta 1
2267;HLA-DPB2;major histocompatibility complex, class II, DP beta 2 (pseudogene)
2268;HLA-DQA1;major histocompatibility complex, class II, DQ alpha 1
2269;HLA-DQA2;major histocompatibility complex, class II, DQ alpha 2
2270;HLA-DQB1;major histocompatibility complex, class II, DQ beta 1
2274;HLA-DRB1;major histocompatibility complex, class II, DR beta 1
